Language,Text
Vietnamese,"Công điện gửi Bộ trưởng các Bộ: Quốc phòng, Công an, Nông nghiệp và Phát triển nông thôn, Tài"
Vietnamese,"nguyên và Môi trường, Giao thông vận tải, Xây dựng, Công Thương; Chủ tịch"
Vietnamese,"Ủy ban nhân dân các tỉnh: Hà Giang, Cao Bằng, Bắc Kạn, Lào Cai, Yên Bái, Tuyên Quang,"
Vietnamese,"Sơn La, Điện Biên, Lai Châu, Hoà Bình, Phú Thọ,"
Vietnamese,"Thái Nguyên, Lạng Sơn. Theo báo cáo nhanh của Ủy ban nhân"
Vietnamese,"dân tỉnh Hà Giang, sáng ngày 13 tháng 7 năm 2024"
Vietnamese,đã xảy ra sự cố sạt lở đất vào xe khách lưu thông trên tuyến Quốc lộ 34 thuộc
Vietnamese,"địa phận thôn Tả Mò, xã Yên Định, huyện Bắc Mê, tỉnh Hà Giang. Ngay sau khi được tin báo,"
Vietnamese,Uỷ ban nhân dân tỉnh Hà Giang và các cơ quan chức năng đã khẩn trương
Vietnamese,"triển khai công tác tìm kiếm cứu nạn và khắc phục hậu quả. Đến nay,"
Vietnamese,"sự cố sạt lở đã làm ít nhất 08 người chết, 04 người bị"
Vietnamese,"thương. Thủ tướng Chính phủ gửi lời thăm hỏi, chia buồn sâu sắc nhất tới thân nhân các gia đình có người bị nạn. Thủ"
Vietnamese,"tướng Chính phủ yêu cầu các Bộ trưởng, Chủ tịch Ủy ban nhân dân tỉnh Hà Giang và các"
Vietnamese,địa phương tiếp tục khẩn trương khắc phục hậu quả sự cố sạt
Vietnamese,"lở nêu trên, đồng thời chủ động triển khai công tác ứng phó mưa lũ, sạt lở có"
Vietnamese,"thể tiếp tục xảy ra trong thời gian tới, trong đó: 1. Chủ tịch Ủy ban nhân dân tỉnh Hà Giang"
Vietnamese,"phối hợp với Uỷ ban nhân dân các tỉnh Cao Bằng, Lai Châu và các địa"
Vietnamese,"phương, đơn vị có liên quan tiếp tục chỉ đạo khắc phục nhanh hậu quả sự cố"
Vietnamese,"sạt lở nêu trên, xác định các trường hợp còn mất tích (nếu có) để"
Vietnamese,"khẩn trương tìm kiếm cứu nạn, tổ chức cứu chữa người bị thương; xác định danh tính người bị nạn, phối hợp với các địa"
Vietnamese,"phương lo hậu sự theo quy định, thăm hỏi, động viên, hỗ trợ các gia đình có người"
Vietnamese,"bị nạn; chỉ đạo các cơ quan chức năng của tỉnh kiểm tra, đánh giá, xác định cụ thể nguyên nhân xảy ra sự"
Vietnamese,"cố sạt lở để rút kinh nghiệm, tránh xảy ra các sự cố sạt lở tương tự, đặc biệt là vấn đề đảm bảo"
Vietnamese,an toàn giao thông. 2. Chủ tịch Ủy ban nhân dân các tỉnh nêu trên chỉ đạo cơ
Vietnamese,"quan chức năng và lực lượng xung kích phòng, chống thiên tai tại cơ sở chủ động rà soát, kiểm"
Vietnamese,"tra, kịp thời phát hiện các khu vực có nguy cơ xảy ra sạt lở"
Vietnamese,"để chủ động sơ tán, di dời và có phương án bảo đảm an toàn tính mạng và tài sản cho"
Vietnamese,người dân. 3. Giao Bộ Công an chỉ đạo Công an các địa phương phối hợp với lực lượng chức năng
Vietnamese,"khẩn trương tập trung triển khai công tác tìm kiếm những người còn mất tích, hỗ trợ xác định danh tính các"
Vietnamese,nạn nhân và khắc phục hậu quả sự cố sạt lở theo chức năng quản lý nhà nước được giao. 4. Bộ trưởng các
Vietnamese,"Bộ: Nông nghiệp và Phát triển nông thôn, Tài nguyên và Môi trường, Giao thông vận tải, Xây"
Vietnamese,"dựng, Công Thương, Quốc phòng, Công an chủ động chỉ đạo, kiểm tra, đôn đốc triển khai công tác phòng, chống"
Vietnamese,"thiên tai, bảo đảm an toàn cho lực lượng và công trình thuộc trách nhiệm quản lý và theo chức năng"
Vietnamese,"quản lý nhà nước được giao. 5. Các Bộ: Quốc phòng, Công an"
Vietnamese,"chủ động chỉ đạo các lực lượng đóng trên địa bàn phối hợp, hỗ trợ địa phương triển khai công tác"
Vietnamese,"ứng phó mưa lũ, sạt lở theo quy định. 6. Giao Bộ trưởng Bộ Nông nghiệp và Phát triển"
Vietnamese,"nông thôn tổ chức đoàn công tác trực tiếp kiểm tra, phối"
Vietnamese,"hợp với địa phương chỉ đạo khắc phục sự cố sạt lở, đồng thời"
Vietnamese,"tổ chức theo dõi chặt chẽ tình hình, chủ động chỉ đạo, kiểm tra,"
Vietnamese,"đôn đốc các ngành, các địa phương triển khai công tác phòng, chống, khắc phục hậu quả thiên tai theo"
Vietnamese,"nhiệm vụ được giao tại Nghị quyết số 102/NQ-CP ngày 29 tháng 6 năm 2024 của Chính phủ; kịp thời báo cáo, đề"
Vietnamese,xuất Thủ tướng Chính phủ chỉ đạo xử lý những vấn đề vượt thẩm quyền./.
Vietnamese,"Nhận lời mời của Tổng Bí thư, Chủ tịch nước CHDCND Lào Thongloun Sisoulith và Quốc"
Vietnamese,"vương Campuchia Norodom Sihamoni, Chủ tịch nước Tô Lâm cùng Đoàn đại biểu cấp cao Việt Nam đã thăm cấp Nhà nước"
Vietnamese,tới CHDCND Lào và Vương quốc Campuchia từ ngày 11-13/7/2024. Đây là chuyến thăm nước ngoài đầu tiên của Chủ tịch nước Tô Lâm trên
Vietnamese,cương vị mới. Những kết quả đạt được trong chuyến thăm có ý nghĩa rất quan trọng đối với quan hệ giữa Việt Nam với
Vietnamese,"Lào và Campuchia, hai nước láng giềng thân thiết có quan hệ"
Vietnamese,"truyền thống, hữu nghị, gắn bó lâu đời đối với Việt Nam. Chuyến thăm góp phần tăng cường sự gắn kết, hợp tác"
Vietnamese,"truyền thống, hiệu quả giữa ba nước Việt Nam - Lào - Campuchia. Chuyến thăm đã thành"
Vietnamese,"công về mọi mặt, là dấu ấn mới trong việc triển khai chính sách đối ngoại của"
Vietnamese,"Đại hội Đảng toàn quốc lần thứ XIII, đồng thời"
Vietnamese,"Sáng 13/7, Thủ tướng Phạm Minh Chính đi kiểm tra tình hình triển khai tuyến cao tốc Châu Đốc-Cần"
Vietnamese,Thơ-Sóc Trăng dài hơn 188 km trên địa bàn các tỉnh
Vietnamese,"Cần Thơ và Hậu Giang. Trước đó, vào chiều 12/7, Thủ tướng đã đi kiểm tra công trường thi công"
Vietnamese,tuyến cao tốc Cần Thơ-Cà Mau. Cùng đi với Thủ tướng Chính phủ có Bộ
Vietnamese,"trưởng Bộ Giao thông vận tải Nguyễn Văn Thắng, Bộ trưởng Bộ Tài nguyên và Môi trường Đặng Quốc Khánh, Bí thư"
Vietnamese,"Tỉnh ủy Hậu Giang Nghiêm Xuân Thành, Bí thư Thành ủy Cần Thơ Nguyễn Văn Hiếu, lãnh đạo các bộ, ngành,"
Vietnamese,"địa phương. Trong buổi sáng, Thủ tướng đã kiểm tra tình hình thi"
Vietnamese,"công dự án thành phần 2 tuyến cao tốc Châu Đốc-Cần Thơ-Sóc Trăng tại nút giao Lộ Tẻ-Rạch Sỏi, xã Thạnh"
Vietnamese,"Tiến, huyện Vĩnh Thạnh, Cần Thơ; dự án thành phần 3 tuyến cao tốc"
Vietnamese,"Châu Đốc-Cần Thơ-Sóc Trăng tại nút giao QL61C, xã Bình Thành, huyện Phụng Hiệp, Hậu Giang. Tiếp đó, Thủ tướng đã có cuộc làm việc"
Vietnamese,"với các cơ quan liên quan tại UBND huyện Châu Thành A, tỉnh Hậu Giang. Theo"
Vietnamese,"Với sự chỉ đạo quyết liệt, kịp thời của Chính phủ, Thủ tướng Chính phủ;"
Vietnamese,"sự phối hợp chặt chẽ của các bộ, ngành, địa phương trong việc chủ động tiếp cận, tháo gỡ những"
Vietnamese,"điểm nghẽn, rào cản pháp lý cản trở hoạt động đầu tư kinh doanh của doanh nghiệp, 6 tháng đầu năm, nước ta đã đạt"
Vietnamese,được kết quả thu hút và thực hiện đầu tư nước ngoài khá tích cực. Thông tin từ Bộ Kế
Vietnamese,"hoạch và Đầu tư (KH&ĐT) cho biết, từ đầu năm đến nay, tổng vốn đầu tư đăng ký đạt gần 15,2 tỷ USD, tăng"
Vietnamese,"13,1% so với cùng kỳ năm 2023. Cả vốn đầu tư mới cũng như điều"
